Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Size,Color
Walton Cable 1*4.0 RM Red,WAL-CAB-1X4.0RM-RED,Electrical,Walton,coil,8501,11921.0,5,6,1*4.0 RM,Red
Walton Cable 1*4.0 RM Black,WAL-CAB-1X4.0RM-BLACK,Electrical,Walton,coil,8501,11921.0,5,2,1*4.0 RM,Black
Walton Cable 1*4.0 RM Blue,WAL-CAB-1X4.0RM-BLUE,Electrical,Walton,coil,8501,11921.0,5,5,1*4.0 RM,Blue
Walton Cable 1*4.0 RM Yellow,WAL-CAB-1X4.0RM-YELLOW,Electrical,Walton,coil,8501,11921.0,5,3,1*4.0 RM,Yellow
Walton Cable 1*4.0 RM Green,WAL-CAB-1X4.0RM-GREEN,Electrical,Walton,coil,8501,11921.0,5,2,1*4.0 RM,Green
Walton Cable 1*6.0 RM Red,WAL-CAB-1X6.0RM-RED,Electrical,Walton,coil,12697,17805.0,5,2,1*6.0 RM,Red
Walton Cable 1*6.0 RM Black,WAL-CAB-1X6.0RM-BLACK,Electrical,Walton,coil,12697,17805.0,5,0,1*6.0 RM,Black
Walton Cable 1*6.0 RM Blue,WAL-CAB-1X6.0RM-BLUE,Electrical,Walton,coil,12697,17805.0,5,0,1*6.0 RM,Blue
Walton Cable 1*6.0 RM Yellow,WAL-CAB-1X6.0RM-YELLOW,Electrical,Walton,coil,12697,17805.0,5,0,1*6.0 RM,Yellow
Walton Cable 1*6.0 RM Green,WAL-CAB-1X6.0RM-GREEN,Electrical,Walton,coil,12697,17805.0,5,0,1*6.0 RM,Green
Walton Cable 1*7.0 RM Red,WAL-CAB-1X7.0RM-RED,Electrical,Walton,coil,14651,20545.1,5,3,1*7.0 RM,Red
Walton Cable 1*7.0 RM Black,WAL-CAB-1X7.0RM-BLACK,Electrical,Walton,coil,14651,20545.1,5,2,1*7.0 RM,Black
Walton Cable 1*7.0 RM Blue,WAL-CAB-1X7.0RM-BLUE,Electrical,Walton,coil,14651,20545.1,5,3,1*7.0 RM,Blue
Walton Cable 1*7.0 RM Yellow,WAL-CAB-1X7.0RM-YELLOW,Electrical,Walton,coil,14651,20545.1,5,2,1*7.0 RM,Yellow
Walton Cable 1*7.0 RM Green,WAL-CAB-1X7.0RM-GREEN,Electrical,Walton,coil,14651,20545.1,5,3,1*7.0 RM,Green
Walton Cable 1*10 RM Red,WAL-CAB-1X10RM-RED,Electrical,Walton,coil,21066,29540.9,5,0,1*10 RM,Red
Walton Cable 1*10 RM Black,WAL-CAB-1X10RM-BLACK,Electrical,Walton,coil,21066,29540.9,5,3,1*10 RM,Black
Walton Cable 1*10 RM Blue,WAL-CAB-1X10RM-BLUE,Electrical,Walton,coil,21066,29540.9,5,0,1*10 RM,Blue
Walton Cable 1*10 RM Yellow,WAL-CAB-1X10RM-YELLOW,Electrical,Walton,coil,21066,29540.9,5,0,1*10 RM,Yellow
Walton Cable 1*10 RM Green,WAL-CAB-1X10RM-GREEN,Electrical,Walton,coil,21066,29540.9,5,0,1*10 RM,Green
Walton Cable 1*1.3 RM Red,WAL-CAB-1X1.3RM-RED,Electrical,Walton,coil,2984,4184.5,5,80,1*1.3 RM,Red
Walton Cable 1*1.3 RM Black,WAL-CAB-1X1.3RM-BLACK,Electrical,Walton,coil,2984,4184.5,5,69,1*1.3 RM,Black
Walton Cable 1*1.3 RM Blue,WAL-CAB-1X1.3RM-BLUE,Electrical,Walton,coil,2984,4184.5,5,15,1*1.3 RM,Blue
Walton Cable 1*1.3 RM Yellow,WAL-CAB-1X1.3RM-YELLOW,Electrical,Walton,coil,2984,4184.5,5,19,1*1.3 RM,Yellow
Walton Cable 1*1.3 RM Green,WAL-CAB-1X1.3RM-GREEN,Electrical,Walton,coil,2984,4184.5,5,5,1*1.3 RM,Green
Walton Cable 1*1.5 Re Red,WAL-CAB-1X1.5RE-RED,Electrical,Walton,coil,3308,4638.8,5,0,1*1.5 Re,Red
Walton Cable 1*1.5 Re Black,WAL-CAB-1X1.5RE-BLACK,Electrical,Walton,coil,3308,4638.8,5,0,1*1.5 Re,Black
Walton Cable 1*1.5 Re Blue,WAL-CAB-1X1.5RE-BLUE,Electrical,Walton,coil,3308,4638.8,5,0,1*1.5 Re,Blue
Walton Cable 1*1.5 Re Yellow,WAL-CAB-1X1.5RE-YELLOW,Electrical,Walton,coil,3308,4638.8,5,0,1*1.5 Re,Yellow
Walton Cable 1*1.5 Re Green,WAL-CAB-1X1.5RE-GREEN,Electrical,Walton,coil,3308,4638.8,5,8,1*1.5 Re,Green
Walton Cable 1*1.5 RM Red,WAL-CAB-1X1.5RM-RED,Electrical,Walton,coil,3422,4798.7,5,33,1*1.5 RM,Red
Walton Cable 1*1.5 RM Black,WAL-CAB-1X1.5RM-BLACK,Electrical,Walton,coil,3422,4798.7,5,37,1*1.5 RM,Black
Walton Cable 1*1.5 RM Blue,WAL-CAB-1X1.5RM-BLUE,Electrical,Walton,coil,3422,4798.7,5,33,1*1.5 RM,Blue
Walton Cable 1*1.5 RM Yellow,WAL-CAB-1X1.5RM-YELLOW,Electrical,Walton,coil,3422,4798.7,5,12,1*1.5 RM,Yellow
Walton Cable 1*1.5 RM Green,WAL-CAB-1X1.5RM-GREEN,Electrical,Walton,coil,3422,4798.7,5,3,1*1.5 RM,Green
Walton Cable 1*2.0 RM Red,WAL-CAB-1X2.0RM-RED,Electrical,Walton,coil,4531,6353.8,5,23,1*2.0 RM,Red
Walton Cable 1*2.0 RM Black,WAL-CAB-1X2.0RM-BLACK,Electrical,Walton,coil,4531,6353.8,5,22,1*2.0 RM,Black
Walton Cable 1*2.0 RM Blue,WAL-CAB-1X2.0RM-BLUE,Electrical,Walton,coil,4531,6353.8,5,5,1*2.0 RM,Blue
Walton Cable 1*2.0 RM Yellow,WAL-CAB-1X2.0RM-YELLOW,Electrical,Walton,coil,4531,6353.8,5,3,1*2.0 RM,Yellow
Walton Cable 1*2.0 RM Green,WAL-CAB-1X2.0RM-GREEN,Electrical,Walton,coil,4531,6353.8,5,0,1*2.0 RM,Green
Walton Cable 1*2.5 RM Red,WAL-CAB-1X2.5RM-RED,Electrical,Walton,coil,5462,7659.4,5,18,1*2.5 RM,Red
Walton Cable 1*2.5 RM Black,WAL-CAB-1X2.5RM-BLACK,Electrical,Walton,coil,5462,7659.4,5,2,1*2.5 RM,Black
Walton Cable 1*2.5 RM Blue,WAL-CAB-1X2.5RM-BLUE,Electrical,Walton,coil,5462,7659.4,5,14,1*2.5 RM,Blue
Walton Cable 1*2.5 RM Yellow,WAL-CAB-1X2.5RM-YELLOW,Electrical,Walton,coil,5462,7659.4,5,14,1*2.5 RM,Yellow
Walton Cable 1*2.5 RM Green,WAL-CAB-1X2.5RM-GREEN,Electrical,Walton,coil,5462,7659.4,5,4,1*2.5 RM,Green
Walton Cable 1*3.0 RM Red,WAL-CAB-1X3.0RM-RED,Electrical,Walton,coil,6578,9224.3,5,13,1*3.0 RM,Red
Walton Cable 1*3.0 RM Black,WAL-CAB-1X3.0RM-BLACK,Electrical,Walton,coil,6578,9224.3,5,8,1*3.0 RM,Black
Walton Cable 1*3.0 RM Blue,WAL-CAB-1X3.0RM-BLUE,Electrical,Walton,coil,6578,9224.3,5,10,1*3.0 RM,Blue
Walton Cable 1*3.0 RM Yellow,WAL-CAB-1X3.0RM-YELLOW,Electrical,Walton,coil,6578,9224.3,5,4,1*3.0 RM,Yellow
Walton Cable 1*3.0 RM Green,WAL-CAB-1X3.0RM-GREEN,Electrical,Walton,coil,6578,9224.3,5,5,1*3.0 RM,Green
